iter	Passed	Remaining
0	3	348
1	6	320
2	9	311
3	13	317
4	16	322
5	20	320
6	25	334
7	28	326
8	32	328
9	35	320
10	39	317
11	42	313
12	45	304
13	48	297
14	52	297
15	55	291
16	58	287
17	63	288
18	66	283
19	70	281
20	74	279
21	77	275
22	81	272
23	85	271
24	89	269
25	92	263
26	96	261
27	100	257
28	103	252
29	106	249
30	110	246
31	114	244
32	119	241
33	122	237
34	125	233
35	129	230
36	133	226
37	137	223
38	140	219
39	143	215
40	147	211
41	151	208
42	155	205
43	159	202
44	163	199
45	166	195
46	169	191
47	173	187
48	176	184
49	179	179
50	183	176
51	186	171
52	189	168
53	192	163
54	195	159
55	200	157
56	203	153
57	208	150
58	211	146
59	215	143
60	218	139
61	223	136
62	226	133
63	230	129
64	233	125
65	237	122
66	241	118
67	244	115
68	248	111
69	252	108
70	255	104
71	259	100
72	263	97
73	267	93
74	271	90
75	274	86
76	278	83
77	281	79
78	285	75
79	289	72
80	292	68
81	295	64
82	299	61
83	303	57
84	307	54
85	310	50
86	314	46
87	318	43
88	320	39
89	323	35
90	326	32
91	329	28
92	331	24
93	334	21
94	338	17
95	342	14
96	345	10
97	347	7
98	351	3
99	354	0
