,FLIGHT_COUNT,AGE,GENDER,avg_discount,Points_Sum,AVG_INTERVAL
11587,10,37.0,1,0.795668154,15716,60.44444444
11738,13,38.0,0,0.7751788629999999,15079,34.83333333
11886,15,55.0,0,0.748045227,14920,46.14285714
12003,13,43.0,0,0.848179114,13765,51.58333333
12004,16,28.0,1,0.733889892,15407,31.0
12074,20,41.0,1,0.7479788409999999,13718,34.05263158
12164,14,34.0,0,0.7630349000000001,14974,29.23076923
12169,17,38.0,0,0.817760426,14924,36.4375
12190,3,36.0,1,0.792575713,14624,133.0
12297,16,29.0,0,0.924349541,11675,31.6
12359,4,22.0,1,0.7847593629999999,13901,193.6666667
12361,12,42.0,0,0.745712174,14637,63.72727273
12383,10,37.0,1,0.7187731340000001,10126,60.33333333
12388,14,30.0,1,0.719496545,14507,32.38461538
12469,13,57.0,0,0.888172017,14847,49.08333333
12483,17,48.0,0,0.711596865,15358,31.125
12497,19,53.0,0,0.72746511,15716,37.72222222
12499,15,38.0,0,0.734036737,15212,39.21428571
12552,4,39.0,0,0.71279983,15123,65.0
12560,19,31.0,0,0.754507878,15496,20.11111111
12587,16,31.0,1,0.729458335,14807,43.33333333
12624,17,36.0,0,0.905582771,15394,31.5
12650,2,55.0,1,0.75,9304,11.0
12656,2,35.0,1,0.75,9304,7.0
12660,2,39.0,0,0.75,9304,41.0
12666,11,45.0,0,0.820315323,15319,71.5
12674,19,32.0,0,0.783440171,15630,29.55555556
12678,18,29.0,0,0.740493333,14508,27.64705882
12715,5,23.0,0,0.7773936709999999,13897,143.0
12767,13,34.0,0,0.7485359840000001,15631,46.16666667
12771,17,34.0,0,0.8367142790000001,14593,31.6875
12781,13,45.0,0,0.747783573,14969,51.66666667
12787,13,56.0,0,0.744971141,14117,37.0
12892,20,45.0,0,0.861541907,15674,36.21052632
12894,21,31.0,0,0.717222817,15312,24.55
12926,12,58.0,1,0.7041666670000001,14364,44.72727273
12935,20,43.0,0,0.819052555,15601,35.78947368
12946,26,41.0,0,0.774278158,15086,27.28
12955,8,40.0,0,0.752701561,14491,66.14285714
12999,23,47.0,0,0.708778907,12723,29.5
13023,20,40.0,0,0.844796453,14845,36.63157895
13034,14,63.0,0,0.8752191140000001,15474,49.92307692
13042,23,47.0,0,0.798682683,14894,32.5
13048,3,32.0,1,0.7333333329999999,9444,171.0
13065,11,35.0,0,0.903811523,15355,31.6
13066,17,52.0,0,0.706106873,14826,41.0
13083,16,61.0,0,0.753980139,14692,46.06666667
13086,19,38.0,0,0.708484728,14352,37.94444444
13094,27,33.0,0,0.8607367,15681,27.11538462
13117,15,48.0,1,0.740212005,15250,43.5
13123,6,48.0,0,0.7663125270000001,14762,110.6
13124,6,25.0,1,0.68677265,10155,44.8
13135,24,48.0,0,0.709849162,15570,30.0
13146,11,45.0,0,0.6991038140000001,14970,57.9
13149,17,49.0,0,0.82797308,14510,22.5
13192,16,48.0,0,0.733822117,14466,37.73333333
13208,12,37.0,0,0.68551037,14345,38.72727273
13233,16,47.0,1,0.728834047,13648,30.2
13239,14,39.0,0,0.793200879,15396,48.61538462
13244,20,42.0,0,0.690167857,15467,37.63157895
13253,24,41.0,0,0.7280342870000001,13764,30.56521739
13260,24,33.0,0,0.678787378,13933,31.56521739
13279,20,38.0,0,0.71821462,15712,31.21052632
13290,9,46.0,0,0.6787842470000001,11084,75.5
13299,26,47.0,0,0.856252492,15582,26.48
13322,21,47.0,0,0.748668852,15368,32.55
13352,8,23.0,1,0.851240543,14363,52.0
13353,11,38.0,0,0.8283220840000001,14183,49.2
13354,16,34.0,1,0.728134595,12607,36.93333333
13373,22,36.0,0,0.749359566,13582,33.80952381
13379,21,41.0,0,0.759259548,14874,18.2
13381,16,30.0,1,0.767242813,13826,8.866666667
13387,26,34.0,0,0.721921255,15107,26.96
13392,20,38.0,0,0.826799717,15285,30.31578947
13399,14,31.0,0,0.796428571,15612,35.38461538
13408,12,30.0,0,0.752176733,14720,54.63636364
13414,23,53.0,1,0.778790764,13767,26.81818182
13415,20,34.0,0,0.688786102,14532,33.21052632
13418,13,46.0,1,0.738416101,13688,41.66666667
13433,3,38.0,1,0.7666725120000001,13568,52.5
13447,19,39.0,0,0.682810412,13754,32.33333333
13449,17,51.0,0,0.908837209,15624,43.625
13450,10,46.0,0,0.8100282879999999,15506,67.66666667
13451,4,51.0,0,0.6822798659999999,9716,9.666666667
13460,13,37.0,1,0.827501185,15033,50.5
13501,12,38.0,1,0.912257557,15472,45.45454545
13503,18,33.0,0,0.745469767,13540,20.94117647
13535,19,36.0,0,0.74625725,14425,34.5
13540,17,37.0,0,0.7063194079999999,14521,25.625
13544,23,47.0,0,0.795248958,15293,31.77272727
13545,10,47.0,0,1.009767347,13706,65.22222222
13547,15,34.0,0,0.7276587720000001,11552,41.5
13551,20,47.0,0,0.667170704,14199,23.94736842
13562,24,35.0,1,0.677133877,12622,23.26086957
13571,13,36.0,0,0.8765220690000001,14555,35.0
13575,13,60.0,0,0.69550297,14934,57.66666667
13586,14,36.0,0,0.6724814570000001,13635,53.46153846
13590,15,46.0,0,0.7046059,15150,48.85714286
13605,22,37.0,1,0.8701741059999999,14993,16.66666667
13612,13,38.0,0,0.724122233,13038,49.66666667
13627,10,40.0,0,0.724664148,9565,41.55555556
13632,20,61.0,0,0.7926863890000001,14667,37.10526316
13637,10,41.0,0,0.682108989,13683,33.55555556
13650,16,47.0,0,0.66745035,15295,45.06666667
13658,16,57.0,0,0.7474759259999999,15078,41.26666667
13675,18,41.0,0,0.8727843670000001,14902,25.58823529
13678,10,40.0,0,0.915452515,15645,56.11111111
13681,16,48.0,0,0.72009035,15022,43.0
13696,10,37.0,0,0.7467577190000001,12853,21.44444444
13697,21,45.0,0,0.690946277,14739,34.2
13698,14,32.0,0,0.7666822740000001,15046,37.53846154
13702,23,47.0,0,0.778048792,14458,23.90909091
13716,20,57.0,0,0.735838903,14350,34.26315789
13717,22,45.0,0,0.778463421,15731,34.0952381
13745,21,34.0,1,0.703113645,15627,31.85
13752,24,30.0,0,0.714658494,14110,29.04347826
13767,2,48.0,0,0.7,9304,11.0
